Line,LONGITUDE,LATITUDE,ELEV,LABEL,KML_STYLE,ELEVATION,Elev_filtered
D0,100.6952322,14.2855069,21.5839996,191,style,21.584,21.7231789975444
D0,100.6954639,14.2855053,21.7280006,192,style,21.728,21.5524750437598
D0,100.6956956,14.2855036,21.4400005,193,style,21.44,21.4320198943357
D0,100.6959273,14.285502,21.1520004,194,style,21.152,21.3549730543061
D0,100.696159,14.2855003,21.4400005,195,style,21.44,21.3145685674485
D0,100.6963907,14.2854987,21.4400005,196,style,21.44,21.2927324662234
D0,100.6966224,14.285497,21.1520004,197,style,21.152,21.2788244532527
D0,100.6968541,14.2854954,21.4400005,198,style,21.44,21.2719988497316
D0,100.6970857,14.2854937,21.2959995,199,style,21.296,21.2682094913727
D0,100.6973174,14.2854921,21.2870007,200,style,21.287,21.2729597248294
D0,100.6975491,14.2854904,21.2959995,201,style,21.296,21.2966396210875
D0,100.6977808,14.2854888,21.2959995,202,style,21.296,21.3510277842699
D0,100.6980125,14.2854871,21.2959995,203,style,21.296,21.447177051942
D0,100.6982442,14.2854854,21.4400005,204,style,21.44,21.5899414648342
D0,100.6984759,14.2854838,21.5839996,205,style,21.584,21.7706804393954
D0,100.6986906,14.2854823,21.6040001,206,style,21.604,21.9651263362304
D0,100.6986888,14.2852398,22.448,207,style,22.448,22.1280483566329
D0,100.6986879,14.2851208,23.0240002,208,style,23.024,22.1923617995475
D0,100.6985783,14.2851215,22.5919991,209,style,22.592,22.1201539378804
D0,100.6983466,14.2851232,21.5839996,210,style,21.584,21.9421512196594
D0,100.6981149,14.2851248,21.4400005,211,style,21.44,21.7284279467336
D0,100.6978832,14.2851265,21.4400005,212,style,21.44,21.5282386415644
D0,100.6976515,14.2851281,21.1520004,213,style,21.152,21.3641694658107
D0,100.6974198,14.2851298,21.1520004,214,style,21.152,21.2445807148181
D0,100.6971881,14.2851315,21.1520004,215,style,21.152,21.1606743969384
D0,100.6969565,14.2851331,21.1520004,216,style,21.152,21.093799741823
D0,100.6967248,14.2851348,21.2959995,217,style,21.296,21.0241546783836
D0,100.6964931,14.2851364,21.4400005,218,style,21.44,20.9402033348215
D0,100.6962614,14.2851381,21.2959995,219,style,21.296,20.8578328095017
D0,100.6960297,14.2851397,19.1359997,220,style,19.136,20.8380835203365
D0,100.695798,14.2851414,20.7199993,221,style,20.72,20.9511689170187
D0,100.6955663,14.285143,21.5839996,222,style,21.584,21.1572801857767
D0,100.6953346,14.2851447,21.5839996,223,style,21.584,21.3799411899357
D0,100.6951029,14.2851463,21.5839996,224,style,21.584,21.5706719453201
D0,100.6948712,14.285148,21.8719997,225,style,21.872,21.7019305195734
D0,100.6946293,14.2851497,21.7280006,226,style,21.728,21.7532989888262
D0,100.6946277,14.2849337,21.8719997,227,style,21.872,21.7154978790016
D0,100.6946266,14.2847882,21.7679996,228,style,21.768,21.5830039767915
